etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Pan American Silver Corp.,"4,556","1,70,233",,,PAN AMERICAN SILVER,PAAS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Pembina Pipeline Corp.,"17,136","4,16,407",,,PEMBINA PIPELINE,PBA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Power Corp. of Canada,"5,363","95,169",,,POWER OF CANADA,PCR.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Restaurant Brands International Inc.,"3,400","1,92,019",,,RESTAURANT BRANDS INTERNATIONAL,QSR
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,RioCan REIT,"7,684","85,817",,,RIOCAN REIT,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Rogers Communications Inc., Class B, NVS","3,808","1,55,504",,,ROGERS COMMUNICATIONS NVS,RCI-B.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Royal Bank of Canada,"12,648","8,72,471",,,ROYAL BANK OF CANADA,RY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Shaw Communications Inc., Class B, NVS","9,180","1,67,906",,,SHAW COMMUNICATIONS NVS,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Shopify Inc., Class A",884,"9,03,983",,,SHOPIFY,SHOP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,SmartCentres Real Estate Investment Trust,"4,556","68,978",,,SMARTCENTRES REAL ESTATE INVESTMENT TRUST,CWYUF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Sun Life Financial Inc.,"4,012","1,56,377",,,SUN LIFE FINANCIAL,SLF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,TC Energy Corp.,"6,392","2,91,326",,,TC ENERGY,TRP
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,TELUS Corp.,"4,080","70,756",,,TELUS,TU
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Thomson Reuters Corp.,"3,808","2,65,693",,,THOMSON REUTERS,TRI
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Toronto-Dominion Bank (The),"15,059","6,66,328",,,TORONTO DOMINION BANK THE,TD
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Wheaton Precious Metals Corp.,"6,868","3,72,600",,,WHEATON PRECIOUS METALS,WPM
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,WSP Global Inc.,"2,040","1,28,096",,,WSP GLOBAL,WSP.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Yamana Gold Inc.,"13,940","90,540","1,37,47,849",,YAMANA GOLD,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Chile — 0.1%,"Aguas Andinas SA, Class A","2,55,272","89,760",,,AGUAS ANDINAS,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Chile — 0.1%,Cencosud SA,"50,184","87,453",,,CENCOSUD,CENCOSUD.SN
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Chile — 0.1%,Falabella SA,"26,018","92,812","2,70,025",,FALABELLA,FALABELLA.SN
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"360 Security Technology Inc., Class A","6,800","18,927",,,360 SECURITY TECHNOLOGY,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Agricultural Bank of China Ltd., Class H","5,44,000","1,93,027",,,AGRICULTURAL BANK OF CHINA,EK7.MU
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Alibaba Group Holding Ltd., ADR","16,116","40,45,438",,,ALIBABA HOLDING,AHLA.DE
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Baidu Inc., ADR (a)(b)","2,380","2,84,172",,,BAIDU A B,BIDU
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Bank of China Ltd., Class H","9,52,000","3,19,372",,,BANK OF CHINA,W8V0.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Bank of Communications Co. Ltd., Class A","54,400","37,113",,,BANK OF COMMUNICATIONS,601328.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Bank of Communications Co. Ltd., Class H","2,04,000","1,13,184",,,BANK OF COMMUNICATIONS,601328.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Bank of Jiangsu Co. Ltd., Class A","27,295","23,668",,,BANK OF JIANGSU,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Bank of Nanjing Co. Ltd., Class A","27,200","30,251",,,BANK OF NANJING,601009.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Bank of Ningbo Co. Ltd., Class A","6,800","28,234",,,BANK OF NINGBO,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China Cinda Asset Management Co. Ltd., Class H","2,72,000","51,240",,,CHINA CINDA ASSET MANAGEMENT,0CI.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China CITIC Bank Corp. Ltd., Class H","1,36,000","59,312",,,CHINA CITIC BANK,D7C.MU
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,China Conch Venture Holdings Ltd.,"34,000","1,46,087",,,CHINA CONCH VENTURE,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China Construction Bank Corp., Class H","9,58,000","7,02,103",,,CHINA CONSTRUCTION BANK,CICHY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China Everbright Bank Co. Ltd., Class A","1,90,400","1,03,151",,,CHINA EVERBRIGHT BANK,C0V.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,China Gas Holdings Ltd.,"27,200","81,773",,,CHINA GAS,CGHOF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China Jushi Co. Ltd., Class A","13,600","26,977",,,CHINA JUSHI,600176.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China Life Insurance Co. Ltd., Class H","1,36,000","3,13,406",,,CHINA LIFE INSURANCE,CHL.HA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China Merchants Bank Co. Ltd., Class A","20,400","1,01,748",,,CHINA MERCHANTS BANK,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China Merchants Bank Co. Ltd., Class H","34,000","1,58,589",,,CHINA MERCHANTS BANK,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China Minsheng Banking Corp. Ltd., Class A","1,02,000","80,989",,,CHINA MINSHENG BANKING,1988.HK
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,China Mobile Ltd.,"68,000","4,65,898",,,CHINA MOBILE,600941.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"China Molybdenum Co. Ltd., Class H","2,04,000","82,651",,,CHINA MOLYBDENUM,D7N.SG
