year,ETF_Ticker,screen_category,exposure_pct,aum_usd
2018,ESGD,Weapons,2.276960057349935,360308692.0
2019,ESGD,Weapons,2.322849675825797,917779537.0
2020,ESGD,Weapons,2.1237287701298704,3025518508.0
2021,ESGD,Weapons,1.9374959688351785,6694668587.0
2022,ESGD,Weapons,1.9728732577128236,6376261704.0
2023,ESGD,Weapons,2.7072743582221523,7260643178.0
2024,ESGD,Weapons,2.978062611194548,7857945972.0
2025,ESGD,Weapons,3.8043969428337694,9596812876.42
2021,ESGE,Weapons,0.20630996607420196,7105443464.0
2022,ESGE,Weapons,0.4244180944976532,4251524672.0
2023,ESGE,Weapons,0.5112617937939297,4323754536.0
2024,ESGE,Weapons,1.236900362439919,4045464980.0
2025,ESGE,Weapons,1.0826121365864898,5076162057.75
2017,ESGU,Weapons,2.0908132753461417,10829518.0
2018,ESGU,Weapons,1.770143316397576,98974020.0
2019,ESGU,Weapons,1.8519846399365072,295904506.0
2020,ESGU,Weapons,1.5979147521631758,8991145354.0
2021,ESGU,Weapons,1.5154475858995375,22262630403.0
2022,ESGU,Weapons,1.3910593829052476,22194428203.0
2023,ESGU,Weapons,2.0540688953436104,12824827132.0
2024,ESGU,Weapons,1.682674464021576,13485685666.0
2025,ESGU,Weapons,3.011991929708024,13989919390.35
2018,ESML,Weapons,2.262705200821051,11505741.0
2019,ESML,Weapons,2.181453686241356,57663750.0
2020,ESML,Weapons,2.3828502845421506,366339046.0
2021,ESML,Weapons,1.2442431749036675,1099038297.0
2022,ESML,Weapons,2.0932434540977685,1479097137.0
2023,ESML,Weapons,3.193089659943159,1403577468.0
2024,ESML,Weapons,3.222632425141838,1578937784.0
2025,ESML,Weapons,4.637918318121975,1878348896.09
2021,LCTD,Weapons,1.7893855064223951,605599462.0
2022,LCTD,Weapons,2.295776973042015,442314960.0
2023,LCTD,Weapons,1.9250287505210024,576261731.0
2024,LCTD,Weapons,2.399698011387944,344953405.0
2025,LCTD,Weapons,3.3156969200018516,234070256.94
2021,LCTU,Weapons,1.052489573484133,1423888880.0
2022,LCTU,Weapons,0.6647281504381398,1409350423.0
2023,LCTU,Weapons,0.9958734567399172,1683978711.0
2024,LCTU,Weapons,1.132091240308245,1356576171.0
2025,LCTU,Weapons,4.113340078545808,1305135788.31
2024,PABD,Weapons,0.8518597312342658,6204660.0
2025,PABD,Weapons,1.540890918289718,208173774.79
2022,PABU,Weapons,0.1621567901202288,756881657.0
2023,PABU,Weapons,0.5060105684163165,1489773825.0
2024,PABU,Weapons,0.4954826559891591,1776067415.0
